
Test: Connect / Disconnect

Test: Disconnect during reco cancels.
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.934Z"} | privId: F2C9AF07204D482F9160F42A16094AD5 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.930Z"} | privId: 4AC2BB7678D24768986960EE5CEC13A5 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.935Z"} | privId: 454F96B3D20D4D398579CB096AD35C1F | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.937Z"} | privId: 4F82DC6BB13A41F19663CDCE5B4659D2 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.941Z"} | privId: 84FACFCD4E334FC592BD50829272730B | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.939Z"} | privId: B616C2D540C44EF8A3DEE2742F4F043F | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.942Z"} | privId: DA09889B5C084339A26CCE7CC0721ACA | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.947Z"} | privId: 5B64EE00E8E94A73B6A32B621D4AF593 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.948Z"} | privId: EEF63E1CD31040EF8E9D3864335EE6C6 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.949Z"} | privId: 939B11FF35B3473D81677164B1DAB844 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.945Z"} | privId: 56478D40A0CA40788A17E7E011F0E2A7 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.950Z"} | privId: CFA509C328FE488387AABD6527CBFE5D | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.946Z"} | privId: 90BDC58A696D4F8CB802CA106139E6AD | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.944Z"} | privId: B721257F2DA947B5A302186760BBF1E2 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
